Date,Time,Voltage (V),TimeStamp (mS)
17 Oct 2022,15:26:12.928,3.741000,1655102
17 Oct 2022,15:26:16.512,3.742000,1660160
17 Oct 2022,15:26:21.837,3.741000,1665268
17 Oct 2022,15:26:27.672,3.741000,1670270
17 Oct 2022,15:26:32.713,3.740000,1675282
17 Oct 2022,15:26:38.053,3.740000,1680360
17 Oct 2022,15:26:42.946,3.740000,1685456
17 Oct 2022,15:26:48.328,3.742000,1690564
17 Oct 2022,15:26:52.652,3.742000,1695772
17 Oct 2022,15:26:57.553,3.737000,1700872
17 Oct 2022,15:27:03.193,3.741000,1705946
17 Oct 2022,15:27:07.798,3.739000,1710964
17 Oct 2022,15:27:13.424,3.740000,1716010
17 Oct 2022,15:27:18.764,3.742000,1721068
17 Oct 2022,15:27:24.316,3.742000,1726276
17 Oct 2022,15:27:29.474,3.740000,1731486
17 Oct 2022,15:27:33.238,3.740000,1736498
17 Oct 2022,15:27:38.399,3.742000,1741564
17 Oct 2022,15:27:43.665,3.742000,1746564
17 Oct 2022,15:27:49.514,3.738000,1751612
17 Oct 2022,15:27:53.384,3.739000,1756780
17 Oct 2022,15:27:59.866,3.740000,1761988
17 Oct 2022,15:28:04.499,3.739000,1767212
17 Oct 2022,15:28:09.658,3.738000,1772404
17 Oct 2022,15:28:15.419,3.740000,1777616
17 Oct 2022,15:28:19.019,3.740000,1782624
17 Oct 2022,15:28:24.674,3.742000,1787684
17 Oct 2022,15:28:30.389,3.737000,1792692
17 Oct 2022,15:28:34.049,3.738000,1797700
17 Oct 2022,15:28:39.944,3.740000,1802716
17 Oct 2022,15:28:44.490,3.742000,1807772
17 Oct 2022,15:28:50.398,3.735000,1812780
17 Oct 2022,15:28:54.329,3.739000,1817788
17 Oct 2022,15:28:59.984,3.739000,1822996
17 Oct 2022,15:29:06.299,3.739000,1828010
17 Oct 2022,15:29:11.220,3.740000,1833068
17 Oct 2022,15:29:14.969,3.736000,1838076
17 Oct 2022,15:29:21.217,3.736000,1843084
17 Oct 2022,15:29:25.335,3.739000,1848304
17 Oct 2022,15:29:30.525,3.739000,1853358
17 Oct 2022,15:29:35.294,3.739000,1858422
17 Oct 2022,15:29:40.979,3.738000,1863476
17 Oct 2022,15:29:44.955,3.736000,1868480
17 Oct 2022,15:29:50.775,3.739000,1873588
17 Oct 2022,15:29:56.564,3.739000,1878734
17 Oct 2022,15:30:00.374,3.737000,1883744
17 Oct 2022,15:30:05.759,3.738000,1888752
17 Oct 2022,15:30:11.429,3.736000,1893908
17 Oct 2022,15:30:16.830,3.736000,1899058
17 Oct 2022,15:30:20.536,3.740000,1904084
17 Oct 2022,15:30:26.339,3.738000,1909332
17 Oct 2022,15:30:31.769,3.735000,1914556
17 Oct 2022,15:30:36.749,3.738000,1919716
17 Oct 2022,15:30:42.975,3.738000,1924976
17 Oct 2022,15:30:46.472,3.735000,1930132
17 Oct 2022,15:30:51.768,3.736000,1935340
