Date,Time,INSCO2 (mmHg)
17 Oct 2022,15:14:31.807,2.3
17 Oct 2022,15:14:34.379,2.3
17 Oct 2022,15:14:36.918,2.3
17 Oct 2022,15:14:39.478,2.2
17 Oct 2022,15:14:42.035,2.2
17 Oct 2022,15:14:44.569,2.2
17 Oct 2022,15:14:47.129,2.2
17 Oct 2022,15:14:49.684,2.2
17 Oct 2022,15:14:52.224,2.4
17 Oct 2022,15:14:54.796,1.7
17 Oct 2022,15:14:57.320,1.7
17 Oct 2022,15:14:59.876,1.7
17 Oct 2022,15:15:02.434,1.7
17 Oct 2022,15:15:04.997,1.7
17 Oct 2022,15:15:07.549,2.3
17 Oct 2022,15:15:10.086,2.3
17 Oct 2022,15:15:12.626,2.3
17 Oct 2022,15:15:15.198,3.4
17 Oct 2022,15:15:17.736,3.4
17 Oct 2022,15:15:20.293,3.2
17 Oct 2022,15:15:22.833,3.1
17 Oct 2022,15:15:25.389,3.1
17 Oct 2022,15:15:27.947,2.9
17 Oct 2022,15:15:30.487,2.9
17 Oct 2022,15:15:33.057,2.9
17 Oct 2022,15:15:35.598,2.9
17 Oct 2022,15:15:38.141,2.7
17 Oct 2022,15:15:40.716,2.7
17 Oct 2022,15:15:43.255,2.7
17 Oct 2022,15:15:45.805,2.7
17 Oct 2022,15:15:48.348,2.7
17 Oct 2022,15:15:50.893,2.6
17 Oct 2022,15:15:53.467,2.6
17 Oct 2022,15:15:56.004,2.6
17 Oct 2022,15:15:58.554,2.4
17 Oct 2022,15:16:01.111,2.4
17 Oct 2022,15:16:03.657,2.4
17 Oct 2022,15:16:06.210,2.0
17 Oct 2022,15:16:08.750,2.0
17 Oct 2022,15:16:11.320,2.0
17 Oct 2022,15:16:13.860,2.0
17 Oct 2022,15:16:16.400,0.0
17 Oct 2022,15:16:18.978,0.5
17 Oct 2022,15:16:21.518,0.5
17 Oct 2022,15:16:24.068,0.5
17 Oct 2022,15:16:26.611,0.5
17 Oct 2022,15:16:29.166,0.5
17 Oct 2022,15:16:31.721,2.6
17 Oct 2022,15:16:34.278,2.6
17 Oct 2022,15:16:36.834,2.6
17 Oct 2022,15:16:39.376,2.6
17 Oct 2022,15:16:41.930,2.6
17 Oct 2022,15:16:44.470,3.3
17 Oct 2022,15:16:47.027,3.0
17 Oct 2022,15:16:49.582,3.0
17 Oct 2022,15:16:52.124,3.0
17 Oct 2022,15:16:54.679,3.0
17 Oct 2022,15:16:57.235,3.0
17 Oct 2022,15:16:59.777,2.5
17 Oct 2022,15:17:02.355,2.5
17 Oct 2022,15:17:04.871,2.5
17 Oct 2022,15:17:07.437,2.5
17 Oct 2022,15:17:09.989,2.5
17 Oct 2022,15:17:12.540,2.6
17 Oct 2022,15:17:15.079,2.6
17 Oct 2022,15:17:17.636,2.6
17 Oct 2022,15:17:20.192,2.6
17 Oct 2022,15:17:22.733,3.3
17 Oct 2022,15:17:25.289,3.3
17 Oct 2022,15:17:27.845,3.4
17 Oct 2022,15:17:30.385,2.5
17 Oct 2022,15:17:32.948,2.5
17 Oct 2022,15:17:35.496,0.0
17 Oct 2022,15:17:38.042,0.0
17 Oct 2022,15:17:40.609,0.5
17 Oct 2022,15:17:43.137,0.5
17 Oct 2022,15:17:45.740,0.5
17 Oct 2022,15:17:48.245,0.5
17 Oct 2022,15:17:50.807,2.5
17 Oct 2022,15:17:53.365,2.5
17 Oct 2022,15:17:55.896,2.4
17 Oct 2022,15:17:58.455,2.3
17 Oct 2022,15:18:01.013,2.3
17 Oct 2022,15:18:03.553,1.9
17 Oct 2022,15:18:06.127,1.9
17 Oct 2022,15:18:08.667,1.8
17 Oct 2022,15:18:11.219,1.8
17 Oct 2022,15:18:13.760,1.8
17 Oct 2022,15:18:16.301,1.8
17 Oct 2022,15:18:18.878,2.2
17 Oct 2022,15:18:21.417,2.2
17 Oct 2022,15:18:23.952,2.2
17 Oct 2022,15:18:26.527,2.2
17 Oct 2022,15:18:29.073,2.2
17 Oct 2022,15:18:31.625,2.4
17 Oct 2022,15:18:34.160,2.3
17 Oct 2022,15:18:36.717,2.3
17 Oct 2022,15:18:39.273,2.3
17 Oct 2022,15:18:41.820,2.3
17 Oct 2022,15:18:44.392,2.3
17 Oct 2022,15:18:46.928,2.3
17 Oct 2022,15:18:49.465,2.3
17 Oct 2022,15:18:52.037,2.3
17 Oct 2022,15:18:54.563,2.3
17 Oct 2022,15:18:57.139,2.3
17 Oct 2022,15:18:59.675,2.9
17 Oct 2022,15:19:02.215,2.9
17 Oct 2022,15:19:04.794,2.9
17 Oct 2022,15:19:07.325,2.5
17 Oct 2022,15:19:09.881,2.5
17 Oct 2022,15:19:12.440,2.3
17 Oct 2022,15:19:14.985,2.3
17 Oct 2022,15:19:17.535,2.3
17 Oct 2022,15:19:20.092,2.3
17 Oct 2022,15:19:22.650,1.9
17 Oct 2022,15:19:25.187,1.9
17 Oct 2022,15:19:27.727,1.9
17 Oct 2022,15:19:30.301,1.9
17 Oct 2022,15:19:32.840,1.9
17 Oct 2022,15:19:35.395,2.9
17 Oct 2022,15:19:37.938,2.9
17 Oct 2022,15:19:40.498,2.7
17 Oct 2022,15:19:43.048,2.7
17 Oct 2022,15:19:45.610,2.7
17 Oct 2022,15:19:48.144,2.7
17 Oct 2022,15:19:50.706,2.7
17 Oct 2022,15:19:53.242,2.7
17 Oct 2022,15:19:55.797,3.1
17 Oct 2022,15:19:58.354,2.4
17 Oct 2022,15:20:00.912,2.4
17 Oct 2022,15:20:03.452,2.4
17 Oct 2022,15:20:06.006,2.4
17 Oct 2022,15:20:08.562,2.4
17 Oct 2022,15:20:11.103,2.8
17 Oct 2022,15:20:13.664,2.8
17 Oct 2022,15:20:16.214,2.8
17 Oct 2022,15:20:18.755,2.9
17 Oct 2022,15:20:21.310,2.9
17 Oct 2022,15:20:23.869,2.2
17 Oct 2022,15:20:26.406,2.0
17 Oct 2022,15:20:28.963,2.0
17 Oct 2022,15:20:31.520,2.0
17 Oct 2022,15:20:34.060,2.0
17 Oct 2022,15:20:36.615,2.0
17 Oct 2022,15:20:39.171,2.2
17 Oct 2022,15:20:41.714,2.2
17 Oct 2022,15:20:44.269,0.0
17 Oct 2022,15:20:46.824,0.5
17 Oct 2022,15:20:49.365,0.5
17 Oct 2022,15:20:51.927,0.5
17 Oct 2022,15:20:54.467,0.5
17 Oct 2022,15:20:57.022,0.5
17 Oct 2022,15:20:59.584,2.0
17 Oct 2022,15:21:02.128,2.0
17 Oct 2022,15:21:04.702,2.0
17 Oct 2022,15:21:07.224,2.0
17 Oct 2022,15:21:09.782,2.0
17 Oct 2022,15:21:12.343,1.8
17 Oct 2022,15:21:14.877,1.8
17 Oct 2022,15:21:17.456,1.8
17 Oct 2022,15:21:19.989,1.8
17 Oct 2022,15:21:22.537,2.0
17 Oct 2022,15:21:25.093,2.0
17 Oct 2022,15:21:27.626,2.0
17 Oct 2022,15:21:30.198,2.0
17 Oct 2022,15:21:32.739,1.8
17 Oct 2022,15:21:35.279,1.4
17 Oct 2022,15:21:37.838,1.4
17 Oct 2022,15:21:40.391,1.4
17 Oct 2022,15:21:42.947,1.4
17 Oct 2022,15:21:45.487,1.4
17 Oct 2022,15:21:48.043,2.3
17 Oct 2022,15:21:50.601,2.0
17 Oct 2022,15:21:53.138,2.0
17 Oct 2022,15:21:55.713,2.0
17 Oct 2022,15:21:58.254,2.0
17 Oct 2022,15:22:00.798,2.0
17 Oct 2022,15:22:03.373,2.3
17 Oct 2022,15:22:05.894,2.3
17 Oct 2022,15:22:08.460,2.4
17 Oct 2022,15:22:11.002,1.8
17 Oct 2022,15:22:13.542,1.8
17 Oct 2022,15:22:16.113,1.8
17 Oct 2022,15:22:18.658,1.8
17 Oct 2022,15:22:21.209,1.8
17 Oct 2022,15:22:23.772,2.3
17 Oct 2022,15:22:26.312,2.0
17 Oct 2022,15:22:28.870,2.0
17 Oct 2022,15:22:31.409,2.0
17 Oct 2022,15:22:33.982,2.0
17 Oct 2022,15:22:36.517,2.0
17 Oct 2022,15:22:39.054,2.4
17 Oct 2022,15:22:41.628,2.4
17 Oct 2022,15:22:44.167,2.2
17 Oct 2022,15:22:46.724,2.2
17 Oct 2022,15:22:49.264,2.2
17 Oct 2022,15:22:51.804,2.2
17 Oct 2022,15:22:54.374,2.0
17 Oct 2022,15:22:56.916,2.0
17 Oct 2022,15:22:59.476,2.0
17 Oct 2022,15:23:02.028,2.0
17 Oct 2022,15:23:04.568,2.0
17 Oct 2022,15:23:07.132,2.1
17 Oct 2022,15:23:09.672,2.1
17 Oct 2022,15:23:12.236,2.0
17 Oct 2022,15:23:14.784,2.0
17 Oct 2022,15:23:17.340,2.0
17 Oct 2022,15:23:19.895,2.0
17 Oct 2022,15:23:22.431,2.5
17 Oct 2022,15:23:24.991,2.5
17 Oct 2022,15:23:27.532,2.7
17 Oct 2022,15:23:30.084,2.7
17 Oct 2022,15:23:32.637,2.7
17 Oct 2022,15:23:35.200,2.7
17 Oct 2022,15:23:37.737,2.7
17 Oct 2022,15:23:40.316,3.0
17 Oct 2022,15:23:42.847,2.4
17 Oct 2022,15:23:45.388,2.4
17 Oct 2022,15:23:47.943,2.4
17 Oct 2022,15:23:50.498,2.4
17 Oct 2022,15:23:53.043,2.4
17 Oct 2022,15:23:55.599,0.0
17 Oct 2022,15:23:58.151,0.0
17 Oct 2022,15:24:00.714,0.5
17 Oct 2022,15:24:03.250,0.5
17 Oct 2022,15:24:05.789,0.5
17 Oct 2022,15:24:08.353,0.5
17 Oct 2022,15:24:10.904,2.3
17 Oct 2022,15:24:13.456,2.3
17 Oct 2022,15:24:16.015,2.0
17 Oct 2022,15:24:18.551,2.0
17 Oct 2022,15:24:21.113,2.0
17 Oct 2022,15:24:23.649,2.1
17 Oct 2022,15:24:26.207,2.1
17 Oct 2022,15:24:28.780,2.4
17 Oct 2022,15:24:31.309,1.8
17 Oct 2022,15:24:33.860,1.8
17 Oct 2022,15:24:36.421,1.6
17 Oct 2022,15:24:38.953,1.5
17 Oct 2022,15:24:41.531,1.5
17 Oct 2022,15:24:44.050,1.5
17 Oct 2022,15:24:46.610,1.5
17 Oct 2022,15:24:49.164,1.5
17 Oct 2022,15:24:51.718,1.6
17 Oct 2022,15:24:54.274,1.6
17 Oct 2022,15:24:56.814,1.7
17 Oct 2022,15:24:59.371,1.7
17 Oct 2022,15:25:01.929,1.7
17 Oct 2022,15:25:04.471,2.0
17 Oct 2022,15:25:07.040,2.5
17 Oct 2022,15:25:09.591,2.5
17 Oct 2022,15:25:12.119,2.1
17 Oct 2022,15:25:14.692,2.1
17 Oct 2022,15:25:17.216,2.1
17 Oct 2022,15:25:19.789,2.0
17 Oct 2022,15:25:22.333,2.0
17 Oct 2022,15:25:24.870,2.0
17 Oct 2022,15:25:27.447,2.0
17 Oct 2022,15:25:29.980,2.0
17 Oct 2022,15:25:32.536,1.5
17 Oct 2022,15:25:35.093,1.5
17 Oct 2022,15:25:37.637,1.5
17 Oct 2022,15:25:40.212,1.5
17 Oct 2022,15:25:42.730,1.7
17 Oct 2022,15:25:45.317,1.7
17 Oct 2022,15:25:47.843,1.7
17 Oct 2022,15:25:50.382,1.8
17 Oct 2022,15:25:52.954,1.8
17 Oct 2022,15:25:55.500,1.6
17 Oct 2022,15:25:58.050,1.6
17 Oct 2022,15:26:00.607,1.6
17 Oct 2022,15:26:03.132,1.6
17 Oct 2022,15:26:05.703,1.6
17 Oct 2022,15:26:08.265,1.6
17 Oct 2022,15:26:10.805,2.1
17 Oct 2022,15:26:13.354,2.1
17 Oct 2022,15:26:15.894,2.1
17 Oct 2022,15:26:18.459,2.1
17 Oct 2022,15:26:21.009,2.1
17 Oct 2022,15:26:23.564,2.8
17 Oct 2022,15:26:26.104,2.8
17 Oct 2022,15:26:28.643,2.4
17 Oct 2022,15:26:31.218,2.3
17 Oct 2022,15:26:33.760,2.3
17 Oct 2022,15:26:36.318,2.3
17 Oct 2022,15:26:38.869,2.3
