Date,Time,SPO2 (%),TimeStamp (mS)
17 Oct 2022,15:16:35.014,98,1666034195014
17 Oct 2022,15:16:37.570,98,1666034197570
17 Oct 2022,15:16:40.114,98,1666034200114
17 Oct 2022,15:16:42.669,98,1666034202669
17 Oct 2022,15:16:45.225,98,1666034205225
17 Oct 2022,15:16:47.794,98,1666034207794
17 Oct 2022,15:16:50.318,98,1666034210318
17 Oct 2022,15:16:52.883,97,1666034212883
17 Oct 2022,15:16:55.433,97,1666034215433
17 Oct 2022,15:16:57.971,98,1666034217971
17 Oct 2022,15:17:00.550,98,1666034220550
17 Oct 2022,15:17:03.090,98,1666034223090
17 Oct 2022,15:17:05.633,98,1666034225633
17 Oct 2022,15:17:08.180,98,1666034228180
17 Oct 2022,15:17:10.744,98,1666034230744
17 Oct 2022,15:17:13.292,97,1666034233292
17 Oct 2022,15:17:15.832,97,1666034235832
17 Oct 2022,15:17:18.374,98,1666034238374
17 Oct 2022,15:17:20.944,98,1666034240944
17 Oct 2022,15:17:23.485,98,1666034243485
17 Oct 2022,15:17:26.075,97,1666034246075
17 Oct 2022,15:17:28.584,97,1666034248584
17 Oct 2022,15:17:31.138,97,1666034251138
17 Oct 2022,15:17:33.699,97,1666034253699
17 Oct 2022,15:17:36.242,98,1666034256242
17 Oct 2022,15:17:38.814,98,1666034258814
17 Oct 2022,15:17:41.348,98,1666034261348
17 Oct 2022,15:17:43.889,98,1666034263889
17 Oct 2022,15:17:46.458,98,1666034266458
17 Oct 2022,15:17:48.997,98,1666034268997
17 Oct 2022,15:17:51.553,97,1666034271553
17 Oct 2022,15:17:54.094,97,1666034274094
17 Oct 2022,15:17:56.635,97,1666034276635
17 Oct 2022,15:17:59.205,97,1666034279205
17 Oct 2022,15:18:01.750,97,1666034281750
17 Oct 2022,15:18:04.318,97,1666034284318
17 Oct 2022,15:18:06.889,97,1666034286889
17 Oct 2022,15:18:09.422,97,1666034289422
17 Oct 2022,15:18:11.957,97,1666034291957
17 Oct 2022,15:18:14.514,97,1666034294514
17 Oct 2022,15:18:17.073,98,1666034297073
17 Oct 2022,15:18:19.614,98,1666034299614
17 Oct 2022,15:18:22.170,98,1666034302170
17 Oct 2022,15:18:24.722,98,1666034304722
17 Oct 2022,15:18:27.278,98,1666034307278
17 Oct 2022,15:18:29.824,98,1666034309824
17 Oct 2022,15:18:32.380,98,1666034312380
17 Oct 2022,15:18:34.914,98,1666034314914
17 Oct 2022,15:18:37.469,98,1666034317469
17 Oct 2022,15:18:40.026,98,1666034320026
17 Oct 2022,15:18:42.581,98,1666034322581
17 Oct 2022,15:18:45.131,98,1666034325131
17 Oct 2022,15:18:47.663,98,1666034327663
17 Oct 2022,15:18:50.235,98,1666034330235
17 Oct 2022,15:18:52.776,98,1666034332776
17 Oct 2022,15:18:55.329,98,1666034335329
17 Oct 2022,15:18:57.878,98,1666034337878
17 Oct 2022,15:19:00.429,98,1666034340429
17 Oct 2022,15:19:02.982,98,1666034342982
17 Oct 2022,15:19:05.533,98,1666034345533
17 Oct 2022,15:19:08.095,98,1666034348095
17 Oct 2022,15:19:10.653,98,1666034350653
17 Oct 2022,15:19:13.187,98,1666034353187
17 Oct 2022,15:19:15.738,98,1666034355738
17 Oct 2022,15:19:18.288,98,1666034358288
17 Oct 2022,15:19:20.843,97,1666034360843
17 Oct 2022,15:19:23.385,97,1666034363385
17 Oct 2022,15:19:25.940,97,1666034365940
17 Oct 2022,15:19:28.489,97,1666034368489
17 Oct 2022,15:19:31.039,97,1666034371039
17 Oct 2022,15:19:33.593,97,1666034373593
17 Oct 2022,15:19:36.161,97,1666034376161
17 Oct 2022,15:19:38.702,97,1666034378702
17 Oct 2022,15:19:41.252,97,1666034381252
17 Oct 2022,15:19:43.807,97,1666034383807
17 Oct 2022,15:19:46.355,98,1666034386355
17 Oct 2022,15:19:48.898,98,1666034388898
17 Oct 2022,15:19:51.446,98,1666034391446
17 Oct 2022,15:19:53.995,98,1666034393996
17 Oct 2022,15:19:56.555,98,1666034396555
17 Oct 2022,15:19:59.128,98,1666034399128
17 Oct 2022,15:20:01.650,98,1666034401650
17 Oct 2022,15:20:04.205,98,1666034404205
17 Oct 2022,15:20:06.771,98,1666034406771
17 Oct 2022,15:20:09.301,98,1666034409301
17 Oct 2022,15:20:11.871,98,1666034411871
17 Oct 2022,15:20:14.420,98,1666034414420
17 Oct 2022,15:20:16.958,98,1666034416958
17 Oct 2022,15:20:19.508,98,1666034419508
17 Oct 2022,15:20:22.066,98,1666034422066
17 Oct 2022,15:20:24.623,98,1666034424623
17 Oct 2022,15:20:27.160,98,1666034427160
17 Oct 2022,15:20:29.717,97,1666034429717
17 Oct 2022,15:20:32.279,97,1666034432279
17 Oct 2022,15:20:34.812,97,1666034434812
17 Oct 2022,15:20:37.385,97,1666034437385
17 Oct 2022,15:20:39.910,97,1666034439910
17 Oct 2022,15:20:42.470,97,1666034442470
17 Oct 2022,15:20:45.023,97,1666034445023
17 Oct 2022,15:20:47.563,98,1666034447563
17 Oct 2022,15:20:50.133,98,1666034450133
17 Oct 2022,15:20:52.682,98,1666034452682
17 Oct 2022,15:20:55.220,98,1666034455220
17 Oct 2022,15:20:57.785,98,1666034457785
17 Oct 2022,15:21:00.325,98,1666034460325
17 Oct 2022,15:21:02.881,98,1666034462881
17 Oct 2022,15:21:05.437,98,1666034465437
17 Oct 2022,15:21:07.981,98,1666034467981
17 Oct 2022,15:21:10.542,98,1666034470542
17 Oct 2022,15:21:13.101,98,1666034473101
17 Oct 2022,15:21:15.647,98,1666034475647
17 Oct 2022,15:21:18.193,98,1666034478193
17 Oct 2022,15:21:20.733,98,1666034480733
17 Oct 2022,15:21:23.290,98,1666034483290
17 Oct 2022,15:21:25.845,98,1666034485845
17 Oct 2022,15:21:28.395,98,1666034488395
17 Oct 2022,15:21:30.941,98,1666034490941
17 Oct 2022,15:21:33.475,98,1666034493475
17 Oct 2022,15:21:36.048,98,1666034496048
17 Oct 2022,15:21:38.589,97,1666034498589
17 Oct 2022,15:21:41.147,97,1666034501147
17 Oct 2022,15:21:43.701,97,1666034503701
17 Oct 2022,15:21:46.239,97,1666034506239
17 Oct 2022,15:21:48.797,98,1666034508797
17 Oct 2022,15:21:51.352,98,1666034511352
17 Oct 2022,15:21:53.908,98,1666034513909
17 Oct 2022,15:21:56.455,98,1666034516455
17 Oct 2022,15:21:58.990,98,1666034518990
17 Oct 2022,15:22:01.549,98,1666034521549
17 Oct 2022,15:22:04.113,98,1666034524113
17 Oct 2022,15:22:06.662,98,1666034526662
17 Oct 2022,15:22:09.199,98,1666034529199
17 Oct 2022,15:22:11.754,98,1666034531754
17 Oct 2022,15:22:14.310,98,1666034534310
17 Oct 2022,15:22:16.867,98,1666034536867
17 Oct 2022,15:22:19.405,98,1666034539405
17 Oct 2022,15:22:21.965,98,1666034541965
17 Oct 2022,15:22:24.526,98,1666034544526
17 Oct 2022,15:22:27.065,98,1666034547065
17 Oct 2022,15:22:29.622,98,1666034549622
17 Oct 2022,15:22:32.169,98,1666034552169
17 Oct 2022,15:22:34.718,98,1666034554718
17 Oct 2022,15:22:37.275,98,1666034557275
17 Oct 2022,15:22:39.808,98,1666034559808
17 Oct 2022,15:22:42.383,98,1666034562383
