Date,Time,ETCO2 (mmHg)
17 Oct 2022,15:18:08.904,37.9
17 Oct 2022,15:18:11.458,37.9
17 Oct 2022,15:18:14.014,37.9
17 Oct 2022,15:18:16.566,37.6
17 Oct 2022,15:18:19.118,37.6
17 Oct 2022,15:18:21.668,37.6
17 Oct 2022,15:18:24.203,37.6
17 Oct 2022,15:18:26.761,37.6
17 Oct 2022,15:18:29.319,37.4
17 Oct 2022,15:18:31.861,37.4
17 Oct 2022,15:18:34.411,37.4
17 Oct 2022,15:18:36.966,37.3
17 Oct 2022,15:18:39.511,37.3
17 Oct 2022,15:18:42.085,37.2
17 Oct 2022,15:18:44.628,36.2
17 Oct 2022,15:18:47.163,36.2
17 Oct 2022,15:18:49.716,36.9
17 Oct 2022,15:18:52.271,37.1
17 Oct 2022,15:18:54.845,37.1
17 Oct 2022,15:18:57.378,37.1
17 Oct 2022,15:18:59.925,37.1
17 Oct 2022,15:19:02.479,36.9
17 Oct 2022,15:19:05.027,36.9
17 Oct 2022,15:19:07.593,37.2
17 Oct 2022,15:19:10.117,37.2
17 Oct 2022,15:19:12.674,37.2
17 Oct 2022,15:19:15.253,37.7
17 Oct 2022,15:19:17.770,37.7
17 Oct 2022,15:19:20.341,37.9
17 Oct 2022,15:19:22.881,37.9
17 Oct 2022,15:19:25.423,39.2
17 Oct 2022,15:19:27.995,39.2
17 Oct 2022,15:19:30.533,39.2
17 Oct 2022,15:19:33.107,39.2
17 Oct 2022,15:19:35.638,38.8
17 Oct 2022,15:19:38.187,38.8
17 Oct 2022,15:19:40.752,38.2
17 Oct 2022,15:19:43.285,38.5
17 Oct 2022,15:19:45.859,38.5
17 Oct 2022,15:19:48.400,38.5
17 Oct 2022,15:19:50.946,37.8
17 Oct 2022,15:19:53.507,36.8
17 Oct 2022,15:19:56.031,36.8
17 Oct 2022,15:19:58.612,36.8
17 Oct 2022,15:20:01.159,36.7
17 Oct 2022,15:20:03.706,36.6
17 Oct 2022,15:20:06.257,36.6
17 Oct 2022,15:20:08.797,36.6
17 Oct 2022,15:20:11.368,37.0
17 Oct 2022,15:20:13.915,37.0
17 Oct 2022,15:20:16.448,37.0
17 Oct 2022,15:20:19.004,37.0
17 Oct 2022,15:20:21.562,36.5
17 Oct 2022,15:20:24.118,36.5
17 Oct 2022,15:20:26.660,36.5
17 Oct 2022,15:20:29.213,36.6
17 Oct 2022,15:20:31.775,36.6
17 Oct 2022,15:20:34.329,36.6
17 Oct 2022,15:20:36.866,36.5
17 Oct 2022,15:20:39.423,36.5
17 Oct 2022,15:20:41.963,36.5
17 Oct 2022,15:20:44.518,36.5
17 Oct 2022,15:20:47.071,36.1
17 Oct 2022,15:20:49.631,36.1
17 Oct 2022,15:20:52.178,35.3
17 Oct 2022,15:20:54.719,35.3
17 Oct 2022,15:20:57.275,36.0
17 Oct 2022,15:20:59.824,36.0
17 Oct 2022,15:21:02.380,36.0
17 Oct 2022,15:21:04.919,35.2
17 Oct 2022,15:21:07.484,35.2
17 Oct 2022,15:21:10.037,35.5
17 Oct 2022,15:21:12.597,36.4
17 Oct 2022,15:21:15.128,36.4
17 Oct 2022,15:21:17.688,36.4
17 Oct 2022,15:21:20.233,36.6
17 Oct 2022,15:21:22.784,36.6
